All,Visi
None,"Nė vienas"
"Allowed Scopes","Leidžiamos apimtys"
"You need more permissions to apply some of the rule updates.","Jums reikia daugiau teisių, kad galėtumėte pritaikyti kai kuriuos taisyklių pakeitimus."
"You need more permissions to access website ""%1"".","Neužtenka prieigos teisių, kad galėtumėte naudotis svetaine „%1“."
"Role Scopes","Rolės Aprėptys"
Custom,Pasirinktinis
"Read Details","Perskaityti detales"
"Mark as Read","Pažymėti kaip perskaitytą"
"Are you sure?","Ar esate įsitikinę?"
Remove,Pašalinti
"Messages Inbox","Gautos žinutės"
"You have %1 new system messages","Jūs turite %1 naujas sistemines žinutes"
"You have %1 new system message","Jūs turite %1 naują sisteminę žinutę"
"Incoming Message","Gautos žinutės"
close,uždaryti
Notifications,Pranešimai
"The message has been marked as Read.","Pranešimas buvo pažymėtas kaip perskaitytas."
"1 Hour","1 val"
Close,Uždaryti
Message,Žinutė
Actions,Veiksmai
"Manage Shopping Cart","Tvarkyti pirkinių krepšelį"
"Create Order","Sukurti užsakymą"
Back,Grįžti
"Clear my shopping cart","Išvalyti mano krepšelį"
Cancel,Atšaukti
Product,Produktas
Price,Kaina
Quantity,Kiekis
"Last ordered items (%1)","Paskutinės užsakytos prekės (%1)"
Products,Prekės
SKU,"Prekės kodas"
Apply,Pritaikyti
"Add to Order","Pridėti prie užsakymo"
Customers,Klientai
"Shopping Cart","Prekių krepšelis"
"You added %1 to your shopping cart.","%1 įkelta į krepšelį."
"Availability: Out of stock.","Prieinamumas: nėra sandelyje"
"We can't add the item to your cart.","Negalime pridėti šios prekės į jūsų krepšelį."
"You added %1 product to your shopping cart.","%1 įkelta į krepšelį."
"You added %1 products to your shopping cart.","%1 įkelta į krepšelį."
No,Ne
"Apply Coupon Code","Panaudoti kupono kodą"
"Remove Coupon Code","Pašalinti kupono kodą"
"The coupon code ""%1"" is not valid.","Kupono kodas ""%1"" negalioja."
Qty,Kiekis
Subtotal,"Tarpinė suma"
Discount,Nuolaida
Action,Veiksmas
Subtotal:,"Tarpinė suma:"
"Please select","Prašome pasirinkti"
"Move to Wish List","Perkelti į pageidavimų sąrašą"
Reset,"Nustatyti iš naujo"
"SKU: ","Prekės kodas: "
Item,Prekė
"What's this?","Kas tai?"
"Incl. Tax","Su PVM"
"Excl. Tax","Be PVM"
"Edit item parameters","Redaguoti prekės parametrus"
Edit,Redaguoti
"Remove item",Ištrinti
"Add to Cart","Į krepšelį"
Sku,"Prekės kodas"
"View Shopping Cart","Peržiūrėti pirkinių krepšelį"
"Related Search Terms","Susiję paieškos terminai"
"Add New Search Term","Pridėti naują paieškos terminą"
"Missing search engine parameter.","Trūksta paieškos variklio parametro."
"Successful! Test again?","Pavyko! Testuoti vėl?"
"Connection failed! Test again?","Ryšys nutrūko! Testuoti vėl?"
"Enable Search Recommendations","Įjungti paieškos rekomendacijas"
"When you enable this option your site may slow down.","Įjungus šią opciją, galimas svetainės sulėtėjimas."
"Search Recommendations Count","Paieškos rekomendacijų skaičius"
"Show Results Count for Each Recommendation","Rodyti rezultatų skaičių kiekvienai rekomendacijai"
"Enable Search Suggestions","Įjungti paieškos frazių siūlymus"
"Search Suggestions Count","Siūlomų paieškos frazių skaičius"
"Show Results Count for Each Suggestion","Rodyti rezultatų skaičių kiekvienam patarimui"
"Related search terms","Susiję paieškos terminai"
"Did you mean","Ar turite galvoje"
"Search Query","Paieškos užklausa"
Store,Parduotuvė
Results,Rezultatai
Uses,Naudojimų
"Redirect URL","Peradresavimo URL"
"Suggested Term","Siūlomas terminas"
Yes,Taip
"--Please Select--","--Prašome pasirinkti--"
Details,Išsamiau
"View Details","Peržiūrėti detales"
Summary,Santrauka
Status,Būsena
Error,Klaida
"Credit Card Type","Kreditinės kortelės tipas"
"Please Select","Prašome pasirinkti"
"Credit Card Number","Kortelės numeris"
"Expiration Date","Galiojimo data"
"Card Verification Number","Kortelės patvirtinimo numeris"
"Place Order",Užsakyti
Enabled,Įjungta
Title,Pavadinimas
Debug,Derinti
"Sort Order","Rūšiavimo tvarka"
Orders,Užsakymai
Amounts,Sumos
Bestsellers,Perkamiausi
"New Customers","Naujiems klientams"
Customer,Klientas
Guest,Svečias
Total,"Iš viso"
Average,Vidurkis
Views,Peržiūros
Revenue,Pajamos
Tax,Mokesčiai
Shipping,Pristatymas
"Images (.gif, .jpg, .png)","Vaizdai (.jpg, .gif, .png)"
"All Files","Visi failai"
"My Account","Mano paskyra"
"Account Information","Mano Informacija"
"First Name",Vardas
"Last Name",Pavardė
Email,"El. paštas"
"New Password","Naujas slaptažodis"
"Password Confirmation","Slaptažodžio patvirtinimas"
"Your Password","Jūsų slaptažodis"
"Images Cache","Vaizdų podėlis"
Clear,Išvalyti
"Search Index","Paieškos indeksas"
"All Cache","Visi podėliai"
"No change","Jokių pokyčių"
Delete,Ištrinti
Save,Išsaugoti
"Delete %1","Ištrinti %1"
"Delete Store","Ištrinti parduotuvę"
"Save Store","Išsaugoti parduotuvę"
"Edit Store","Redaguoti praduotuvę"
"New Store","Nauja parduotuvė"
"Edit Store View","Redaguoti parduotuvės rodinį"
"New Store View","Naujas parduotuvės rodinys"
Name,Vardas
"Web Site Information","Svetainės informacija"
"Default Store","Numatytoji parduotuvė"
Stores,Parduotuvės
"Create Website","Kurti svetainę"
"Create Store","Kurti parduotuvę"
"Create Store View","Kurti parduotuvės rodinį"
Home,Pradžia
Search,Ieškoti
"Date selector","Datos parinkiklis"
"[ deleted ]","[ ištrinta ]"
"Select All","Rinktis viską"
" [deleted]"," [ištrinta]"
"Add New","Pridėti naują"
Export,Eksportuoti
Submit,Siųsti
"Order #%1","Užsakymas #%1"
"previous page","ankstesnis puslapis"
Password,Slaptažodis
password,slaptažodis
"Sign in",Prisijungti
"Reload Data","Atnaujinti duomenis"
"Sign Out",Atsijungti
Previous,Ankstesnis
Next,Toliau
Thumbnail,Miniatiūra
"per page","per puslapį"
"Previous page","Ankstesnis puslapis"
Content,Turinys
Settings,Nustatymai
Attributes,Savybės
Country,Šalis
"ZIP/Postal Code","Pašto kodas"
City,Miestas
"Street Address",Adresas
"VAT Number","PVM mokėtojo kodas"
Description,Aprašymas
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404 klaida</h1> <p>Puslapis nerastas.</p>"
"Are you sure you want to continue?","Ar tikrai norite tęsti?"
"User Password","Vartotojo slaptažodis"
"FTP Password","FTP slaptažodis"
Type,Tipas
